Provinsi,Perkotaan,Perdesaan,Perkotaan+Perdesaan,Tahun
SUMATERA BARAT,79.56,50.31,61.59,2012
SUMATERA BARAT,78,55.72,64.34,2013
SUMATERA BARAT,80.03,51.52,62.6,2014
SUMATERA BARAT,83.32,55.66,66.58,2015
SUMATERA BARAT,83.21,56.38,67.33,2016
SUMATERA BARAT,83.09,58.7,68.83,2017
SUMATERA BARAT,82.78,59.07,69.53,2018
SUMATERA BARAT,92.18,72.06,81.44,2019
SUMATERA BARAT,93.01,74.91,83.37,2020
SUMATERA BARAT,92.4,74.73,83.4,2021
SUMATERA BARAT,93.07,77.53,85.23,2022
SUMATERA BARAT,93.75,77.41,85.59,2023
SUMATERA BARAT,92.26,81.24,86.85,2024
SUMATERA BARAT,93.01,81.01,87.26,2025
SUMATERA SELATAN,50.65,43.55,45.99,2010
SUMATERA SELATAN,77.01,48.25,58.11,2011
SUMATERA SELATAN,73.88,46.74,56.02,2012
SUMATERA SELATAN,78.09,52.42,61.18,2013
SUMATERA SELATAN,79.81,50.85,60.75,2014
SUMATERA SELATAN,81.28,56.8,65.16,2015
SUMATERA SELATAN,81.67,54.33,63.77,2016
SUMATERA SELATAN,81.89,54.48,64.02,2017
SUMATERA SELATAN,80.11,57.06,65.31,2018
SUMATERA SELATAN,90.89,74.63,80.37,2019
SUMATERA SELATAN,91.14,75.09,80.78,2020
SUMATERA SELATAN,93.26,79.89,84.7,2021
SUMATERA SELATAN,93.5,82.33,86.35,2022
SUMATERA SELATAN,93.67,83.37,87.19,2023
SUMATERA SELATAN,93.06,83.9,87.23,2024
SUMATERA SELATAN,92.14,83.74,86.82,2025
SUMATERA UTARA,52.11,40.34,46.06,2010
SUMATERA UTARA,81.63,47.88,64.23,2011
SUMATERA UTARA,82.3,50.62,66.06,2012
SUMATERA UTARA,82.86,53.96,68,2013
SUMATERA UTARA,83.23,51.66,66.86,2014
SUMATERA UTARA,85.81,57.66,71.41,2015
SUMATERA UTARA,85.04,56.17,70.61,2016
SUMATERA UTARA,83.01,56.71,70.07,2017
SUMATERA UTARA,82.42,60.38,71.95,2018
SUMATERA UTARA,96,83.51,90.22,2019
SUMATERA UTARA,95.75,82.57,89.68,2020
SUMATERA UTARA,96.12,84.48,90.89,2021
SUMATERA UTARA,96.1,86.99,92.13,2022
SUMATERA UTARA,96.2,86.93,92.19,2023
SUMATERA UTARA,96.97,87.62,92.94,2024
SUMATERA UTARA,96.22,89.17,93.24,2025
