Provinsi,Perkotaan,Perdesaan,Perkotaan+Perdesaan,Tahun
JAWA BARAT,97.37,90.01,95.84,2025
JAWA TENGAH,58.63,56.49,57.44,2010
JAWA TENGAH,72.86,62.37,67.09,2011
JAWA TENGAH,72.96,62.42,67.14,2012
JAWA TENGAH,75.81,64.47,69.58,2013
JAWA TENGAH,77.33,65.97,71.11,2014
JAWA TENGAH,79.29,68.94,73.63,2015
JAWA TENGAH,80.8,72.46,76.3,2016
JAWA TENGAH,79.85,72.53,76.09,2017
JAWA TENGAH,81.4,74.83,78.16,2018
JAWA TENGAH,96.68,90.9,93.82,2019
JAWA TENGAH,96.93,91.12,94.07,2020
JAWA TENGAH,96.9,90.18,93.62,2021
JAWA TENGAH,96.78,89.56,93.32,2022
JAWA TENGAH,96.43,90.76,93.76,2023
JAWA TENGAH,97.95,92.65,95.43,2024
JAWA TENGAH,97.94,93.27,95.73,2025
JAWA TIMUR,47.95,57.26,52.94,2010
JAWA TIMUR,78.19,62.98,70.08,2011
JAWA TIMUR,78.41,63.28,70.33,2012
JAWA TIMUR,81.74,69.44,75.19,2013
JAWA TIMUR,82.33,69.69,75.64,2014
JAWA TIMUR,82.32,71.55,76.64,2015
JAWA TIMUR,80.7,71.26,75.83,2016
JAWA TIMUR,80.22,70.7,75.54,2017
JAWA TIMUR,79.74,70.27,75.2,2018
JAWA TIMUR,97.2,91.18,94.39,2019
JAWA TIMUR,98,92.79,95.56,2020
JAWA TIMUR,97.17,92.47,95.02,2021
JAWA TIMUR,96.89,92.76,95.05,2022
JAWA TIMUR,97.53,94.1,96.01,2023
JAWA TIMUR,98.48,94.97,96.93,2024
JAWA TIMUR,98.6,95.63,97.3,2025
KALIMANTAN BARAT,67.54,48.98,54.47,2010
KALIMANTAN BARAT,85.6,49.99,60.36,2011
KALIMANTAN BARAT,88.1,49.5,60.7,2012
KALIMANTAN BARAT,85.57,56.19,64.7,2013
KALIMANTAN BARAT,84.01,54.49,63.04,2014
KALIMANTAN BARAT,89.5,59.56,68.39,2015
KALIMANTAN BARAT,86.38,57.35,66.19,2016
KALIMANTAN BARAT,86.95,60.59,68.77,2017
KALIMANTAN BARAT,90.49,64.27,72.88,2018
KALIMANTAN BARAT,91.38,69.42,77.07,2019
KALIMANTAN BARAT,91.3,72.27,78.83,2020
KALIMANTAN BARAT,87.79,73.83,78.76,2021
KALIMANTAN BARAT,88.86,75.65,80.43,2022
KALIMANTAN BARAT,89.21,77.76,82.08,2023
KALIMANTAN BARAT,90.37,77.08,82.13,2024
KALIMANTAN BARAT,92.18,79.47,84.32,2025
KALIMANTAN SELATAN,67.18,35.94,48.97,2010
KALIMANTAN SELATAN,82.02,41.49,58.37,2011
KALIMANTAN SELATAN,81.42,41.76,58.33,2012
KALIMANTAN SELATAN,80.96,47.44,61.59,2013
KALIMANTAN SELATAN,82.03,46.76,61.72,2014
KALIMANTAN SELATAN,83.07,46.77,62.23,2015
KALIMANTAN SELATAN,79.4,42.86,58.63,2016
KALIMANTAN SELATAN,83.74,42.62,60.62,2017
KALIMANTAN SELATAN,82.81,45.23,62.67,2018
KALIMANTAN SELATAN,84.14,56.25,69.45,2019
KALIMANTAN SELATAN,84.34,58.05,70.36,2020
KALIMANTAN SELATAN,88.92,64.97,76.4,2021
KALIMANTAN SELATAN,87.16,65.6,76.18,2022
KALIMANTAN SELATAN,86.18,66.5,76.29,2023
KALIMANTAN SELATAN,88.27,66.53,77.34,2024
KALIMANTAN SELATAN,89.64,66.77,78.27,2025
KALIMANTAN TENGAH,48.71,36.4,40.55,2010
KALIMANTAN TENGAH,75.32,36.56,49.46,2011
KALIMANTAN TENGAH,78.84,39.22,52.28,2012
KALIMANTAN TENGAH,75.1,43.59,54.1,2013
KALIMANTAN TENGAH,79.09,44.37,56.05,2014
KALIMANTAN TENGAH,80.44,45.1,57.01,2015
KALIMANTAN TENGAH,85.62,48.2,61.26,2016
KALIMANTAN TENGAH,86.65,51.34,63.9,2017
KALIMANTAN TENGAH,85.71,53.09,65.38,2018
KALIMANTAN TENGAH,88.07,63.76,73.27,2019
KALIMANTAN TENGAH,90.76,64.19,74.91,2020
KALIMANTAN TENGAH,87.74,69.64,77.05,2021
KALIMANTAN TENGAH,87.75,69.49,77.01,2022
KALIMANTAN TENGAH,88.92,69.05,77.72,2023
KALIMANTAN TENGAH,90.53,69.59,78.71,2024
KALIMANTAN TENGAH,92.14,71.36,80.58,2025
KALIMANTAN TIMUR,45.35,39.83,43.27,2010
KALIMANTAN TIMUR,89.08,48.96,73.89,2011
KALIMANTAN TIMUR,91.64,50.04,75.61,2012
KALIMANTAN TIMUR,93.08,55.57,78.93,2013
KALIMANTAN TIMUR,92.19,56.49,78.48,2014
KALIMANTAN TIMUR,90.63,57.11,78.13,2015
KALIMANTAN TIMUR,92.41,54.8,78.93,2016
KALIMANTAN TIMUR,92.92,62.86,82.75,2017
KALIMANTAN TIMUR,92.29,59,81.26,2018
KALIMANTAN TIMUR,93.13,63.44,83.54,2019
KALIMANTAN TIMUR,93.34,69.25,85.51,2020
KALIMANTAN TIMUR,94.72,66.3,85.8,2021
KALIMANTAN TIMUR,95.03,69.13,87.14,2022
KALIMANTAN TIMUR,95.49,70.85,87.9,2023
KALIMANTAN TIMUR,96.4,73.04,89.11,2024
KALIMANTAN TIMUR,94.23,75.49,88.45,2025
KALIMANTAN UTARA,,-,,2010
KALIMANTAN UTARA,,-,,2011
KALIMANTAN UTARA,,-,,2012
KALIMANTAN UTARA,,-,,2013
KALIMANTAN UTARA,,-,,2014
KALIMANTAN UTARA,95,71.92,84.59,2015
KALIMANTAN UTARA,93.66,67.71,82.69,2016
KALIMANTAN UTARA,93.08,70.3,83.78,2017
KALIMANTAN UTARA,96.99,75.57,88.3,2018
KALIMANTAN UTARA,96.26,74.24,87.9,2019
KALIMANTAN UTARA,96.95,78,89.5,2020
KALIMANTAN UTARA,96.59,70.89,86.8,2021
KALIMANTAN UTARA,96.9,77.95,89.96,2022
KALIMANTAN UTARA,96.97,77.99,90.19,2023
KALIMANTAN UTARA,96.02,77.28,89.42,2024
