Provinsi,Tanggal,Curah_Hujan_mm
Aceh,2010-01-01,0.0
Aceh,2010-01-02,4.05
Aceh,2010-01-03,63.81
Aceh,2010-01-04,3.01
Aceh,2010-01-05,69.13
Aceh,2010-01-06,76.66
Aceh,2010-01-07,8.76
Aceh,2010-01-08,0.06
Aceh,2010-01-09,0.0
Aceh,2010-01-10,20.52
Aceh,2010-01-11,9.34
Aceh,2010-01-12,0.08
Aceh,2010-01-13,2.19
Aceh,2010-01-14,16.04
Aceh,2010-01-15,10.87
Aceh,2010-01-16,0.26
Aceh,2010-01-17,0.0
Aceh,2010-01-18,45.49
Aceh,2010-01-19,1.74
Aceh,2010-01-20,0.96
Aceh,2010-01-21,14.23
Aceh,2010-01-22,4.02
Aceh,2010-01-23,12.87
Aceh,2010-01-24,4.35
Aceh,2010-01-25,0.08
Aceh,2010-01-26,0.1
Aceh,2010-01-27,0.59
Aceh,2010-01-28,35.57
Aceh,2010-01-29,0.98
Aceh,2010-01-30,0.22
Aceh,2010-01-31,0.02
Aceh,2010-02-01,31.54
Aceh,2010-02-02,7.54
Aceh,2010-02-03,2.8
Aceh,2010-02-04,2.96
Aceh,2010-02-05,2.96
Aceh,2010-02-06,8.93
Aceh,2010-02-07,0.96
Aceh,2010-02-08,11.88
Aceh,2010-02-09,18.42
Aceh,2010-02-10,7.88
Aceh,2010-02-11,0.53
Aceh,2010-02-12,0.15
Aceh,2010-02-13,6.72
Aceh,2010-02-14,7.23
Aceh,2010-02-15,9.57
Aceh,2010-02-16,1.61
Aceh,2010-02-17,3.54
Aceh,2010-02-18,1.37
Aceh,2010-02-19,0.27
Aceh,2010-02-20,1.18
Aceh,2010-02-21,4.61
Aceh,2010-02-22,0.18
Aceh,2010-02-23,28.9
Aceh,2010-02-24,4.4
Aceh,2010-02-25,0.33
Aceh,2010-02-26,0.02
Aceh,2010-02-27,1.25
Aceh,2010-02-28,8.84
Aceh,2010-03-01,33.88
Aceh,2010-03-02,2.28
Aceh,2010-03-03,6.88
Aceh,2010-03-04,1.4
Aceh,2010-03-05,35.52
Aceh,2010-03-06,1.59
Aceh,2010-03-07,0.0
Aceh,2010-03-08,0.0
Aceh,2010-03-09,4.09
Aceh,2010-03-10,1.74
Aceh,2010-03-11,0.04
Aceh,2010-03-12,0.49
Aceh,2010-03-13,0.44
Aceh,2010-03-14,0.72
Aceh,2010-03-15,21.51
Aceh,2010-03-16,1.28
Aceh,2010-03-17,0.0
Aceh,2010-03-18,1.57
Aceh,2010-03-19,0.48
Aceh,2010-03-20,13.15
Aceh,2010-03-21,5.39
Aceh,2010-03-22,14.43
Aceh,2010-03-23,25.06
Aceh,2010-03-24,10.37
Aceh,2010-03-25,3.16
Aceh,2010-03-26,0.0
Aceh,2010-03-27,0.3
Aceh,2010-03-28,20.21
Aceh,2010-03-29,1.07
Aceh,2010-03-30,1.17
Aceh,2010-03-31,0.6
Aceh,2010-04-01,11.22
Aceh,2010-04-02,27.22
Aceh,2010-04-03,11.81
Aceh,2010-04-04,0.87
Aceh,2010-04-05,27.06
Aceh,2010-04-06,5.81
Aceh,2010-04-07,0.15
Aceh,2010-04-08,18.28
Aceh,2010-04-09,12.66
Aceh,2010-04-10,1.98
Aceh,2010-04-11,0.0
Aceh,2010-04-12,0.32
Aceh,2010-04-13,37.5
Aceh,2010-04-14,10.34
Aceh,2010-04-15,1.56
Aceh,2010-04-16,0.0
Aceh,2010-04-17,0.01
Aceh,2010-04-18,0.18
Aceh,2010-04-19,0.08
Aceh,2010-04-20,0.01
Aceh,2010-04-21,3.42
Aceh,2010-04-22,44.71
Aceh,2010-04-23,3.16
Aceh,2010-04-24,3.89
Aceh,2010-04-25,51.04
Aceh,2010-04-26,5.29
Aceh,2010-04-27,105.25
Aceh,2010-04-28,2.85
Aceh,2010-04-29,0.18
Aceh,2010-04-30,0.62
Aceh,2010-05-01,3.08
Aceh,2010-05-02,0.82
Aceh,2010-05-03,12.27
Aceh,2010-05-04,2.73
Aceh,2010-05-05,0.08
Aceh,2010-05-06,0.21
Aceh,2010-05-07,0.02
Aceh,2010-05-08,13.21
Aceh,2010-05-09,1.98
Aceh,2010-05-10,14.0
Aceh,2010-05-11,42.83
Aceh,2010-05-12,5.39
Aceh,2010-05-13,9.35
Aceh,2010-05-14,11.68
Aceh,2010-05-15,2.45
Aceh,2010-05-16,0.39
Aceh,2010-05-17,0.56
Aceh,2010-05-18,0.1
Aceh,2010-05-19,0.11
Aceh,2010-05-20,30.52
Aceh,2010-05-21,28.33
Aceh,2010-05-22,29.51
Aceh,2010-05-23,2.53
Aceh,2010-05-24,0.05
Aceh,2010-05-25,0.26
Aceh,2010-05-26,0.01
Aceh,2010-05-27,0.0
Aceh,2010-05-28,0.0
Aceh,2010-05-29,0.09
Aceh,2010-05-30,0.41
Aceh,2010-05-31,0.15
Aceh,2010-06-01,4.65
Aceh,2010-06-02,0.23
Aceh,2010-06-03,0.18
Aceh,2010-06-04,5.78
Aceh,2010-06-05,54.83
Aceh,2010-06-06,21.69
Aceh,2010-06-07,4.7
Aceh,2010-06-08,1.56
Aceh,2010-06-09,40.23
Aceh,2010-06-10,13.87
Aceh,2010-06-11,38.98
Aceh,2010-06-12,16.29
Aceh,2010-06-13,2.4
Aceh,2010-06-14,34.33
Aceh,2010-06-15,5.73
Aceh,2010-06-16,26.41
Aceh,2010-06-17,1.22
Aceh,2010-06-18,0.02
Aceh,2010-06-19,0.0
Aceh,2010-06-20,0.0
Aceh,2010-06-21,0.13
Aceh,2010-06-22,26.95
Aceh,2010-06-23,8.29
Aceh,2010-06-24,32.65
Aceh,2010-06-25,6.85
Aceh,2010-06-26,0.27
Aceh,2010-06-27,1.65
Aceh,2010-06-28,0.8
Aceh,2010-06-29,2.58
Aceh,2010-06-30,0.75
Aceh,2010-07-01,4.66
Aceh,2010-07-02,0.68
Aceh,2010-07-03,0.0
Aceh,2010-07-04,0.0
Aceh,2010-07-05,0.0
Aceh,2010-07-06,10.44
Aceh,2010-07-07,3.62
Aceh,2010-07-08,0.05
Aceh,2010-07-09,4.09
Aceh,2010-07-10,5.85
Aceh,2010-07-11,1.66
Aceh,2010-07-12,0.22
Aceh,2010-07-13,6.34
Aceh,2010-07-14,12.19
Aceh,2010-07-15,14.75
Aceh,2010-07-16,3.92
Aceh,2010-07-17,0.32
Aceh,2010-07-18,0.01
Aceh,2010-07-19,7.18
Aceh,2010-07-20,0.45
Aceh,2010-07-21,0.08
Aceh,2010-07-22,0.0
Aceh,2010-07-23,1.22
Aceh,2010-07-24,0.19
Aceh,2010-07-25,19.63
Aceh,2010-07-26,1.26
Aceh,2010-07-27,44.01
Aceh,2010-07-28,37.33
Aceh,2010-07-29,11.42
Aceh,2010-07-30,0.27
Aceh,2010-07-31,0.0
Aceh,2010-08-01,1.21
Aceh,2010-08-02,6.37
Aceh,2010-08-03,5.23
Aceh,2010-08-04,0.33
Aceh,2010-08-05,0.0
Aceh,2010-08-06,0.06
Aceh,2010-08-07,0.01
Aceh,2010-08-08,0.68
Aceh,2010-08-09,0.14
Aceh,2010-08-10,5.57
Aceh,2010-08-11,4.12
Aceh,2010-08-12,14.54
Aceh,2010-08-13,8.46
Aceh,2010-08-14,0.15
Aceh,2010-08-15,0.03
Aceh,2010-08-16,0.22
Aceh,2010-08-17,0.03
Aceh,2010-08-18,4.86
Aceh,2010-08-19,66.3
Aceh,2010-08-20,4.01
Aceh,2010-08-21,12.22
Aceh,2010-08-22,0.83
Aceh,2010-08-23,0.0
Aceh,2010-08-24,0.28
Aceh,2010-08-25,0.02
Aceh,2010-08-26,0.06
Aceh,2010-08-27,0.38
Aceh,2010-08-28,0.05
Aceh,2010-08-29,0.07
Aceh,2010-08-30,0.03
Aceh,2010-08-31,3.46
Aceh,2010-09-01,0.09
Aceh,2010-09-02,54.41
Aceh,2010-09-03,9.28
Aceh,2010-09-04,0.0
Aceh,2010-09-05,0.0
Aceh,2010-09-06,0.24
Aceh,2010-09-07,0.12
Aceh,2010-09-08,0.94
Aceh,2010-09-09,0.27
Aceh,2010-09-10,0.05
Aceh,2010-09-11,0.07
Aceh,2010-09-12,34.03
Aceh,2010-09-13,2.91
Aceh,2010-09-14,14.14
Aceh,2010-09-15,3.78
Aceh,2010-09-16,9.52
Aceh,2010-09-17,4.62
Aceh,2010-09-18,9.19
Aceh,2010-09-19,19.38
Aceh,2010-09-20,4.45
Aceh,2010-09-21,10.67
Aceh,2010-09-22,36.83
Aceh,2010-09-23,74.59
Aceh,2010-09-24,11.07
Aceh,2010-09-25,22.94
Aceh,2010-09-26,5.31
Aceh,2010-09-27,6.07
Aceh,2010-09-28,2.08
Aceh,2010-09-29,0.96
Aceh,2010-09-30,0.4
Aceh,2010-10-01,51.04
Aceh,2010-10-02,42.02
Aceh,2010-10-03,44.77
Aceh,2010-10-04,64.71
Aceh,2010-10-05,126.02
Aceh,2010-10-06,7.86
Aceh,2010-10-07,0.12
Aceh,2010-10-08,0.04
Aceh,2010-10-09,0.0
Aceh,2010-10-10,0.0
Aceh,2010-10-11,0.0
Aceh,2010-10-12,0.07
Aceh,2010-10-13,19.92
Aceh,2010-10-14,2.05
Aceh,2010-10-15,0.05
Aceh,2010-10-16,1.38
Aceh,2010-10-17,4.18
Aceh,2010-10-18,0.33
Aceh,2010-10-19,0.0
Aceh,2010-10-20,0.0
Aceh,2010-10-21,0.08
Aceh,2010-10-22,0.02
Aceh,2010-10-23,0.0
Aceh,2010-10-24,2.11
Aceh,2010-10-25,11.12
Aceh,2010-10-26,29.52
Aceh,2010-10-27,3.64
Aceh,2010-10-28,0.48
Aceh,2010-10-29,5.18
Aceh,2010-10-30,1.3
Aceh,2010-10-31,24.36
Aceh,2010-11-01,82.35
Aceh,2010-11-02,46.15
Aceh,2010-11-03,40.23
Aceh,2010-11-04,11.04
Aceh,2010-11-05,6.82
Aceh,2010-11-06,0.85
Aceh,2010-11-07,0.16
Aceh,2010-11-08,0.19
Aceh,2010-11-09,17.1
Aceh,2010-11-10,19.69
Aceh,2010-11-11,37.9
Aceh,2010-11-12,23.13
Aceh,2010-11-13,2.78
Aceh,2010-11-14,14.36
Aceh,2010-11-15,15.55
Aceh,2010-11-16,6.15
Aceh,2010-11-17,0.33
Aceh,2010-11-18,0.32
Aceh,2010-11-19,0.66
Aceh,2010-11-20,8.19
Aceh,2010-11-21,34.62
Aceh,2010-11-22,13.28
Aceh,2010-11-23,62.3
Aceh,2010-11-24,1.54
Aceh,2010-11-25,0.36
Aceh,2010-11-26,0.11
Aceh,2010-11-27,0.07
Aceh,2010-11-28,4.89
Aceh,2010-11-29,5.36
Aceh,2010-11-30,0.49
Aceh,2010-12-01,9.83
Aceh,2010-12-02,3.98
Aceh,2010-12-03,41.47
Aceh,2010-12-04,25.86
Aceh,2010-12-05,4.93
Aceh,2010-12-06,0.74
Aceh,2010-12-07,0.16
Aceh,2010-12-08,49.49
Aceh,2010-12-09,17.98
Aceh,2010-12-10,2.68
Aceh,2010-12-11,7.91
Aceh,2010-12-12,4.18
Aceh,2010-12-13,0.29
Aceh,2010-12-14,0.16
Aceh,2010-12-15,22.96
Aceh,2010-12-16,9.83
Aceh,2010-12-17,1.65
Aceh,2010-12-18,0.64
Aceh,2010-12-19,10.82
Aceh,2010-12-20,4.41
Aceh,2010-12-21,0.2
Aceh,2010-12-22,7.01
Aceh,2010-12-23,3.23
Aceh,2010-12-24,9.11
Aceh,2010-12-25,1.66
Aceh,2010-12-26,2.38
Aceh,2010-12-27,0.77
Aceh,2010-12-28,0.28
Aceh,2010-12-29,1.81
Aceh,2010-12-30,0.35
Aceh,2010-12-31,0.33
Aceh,2011-01-01,2.1
Aceh,2011-01-02,0.39
Aceh,2011-01-03,0.28
Aceh,2011-01-04,33.55
Aceh,2011-01-05,5.92
Aceh,2011-01-06,33.68
Aceh,2011-01-07,20.69
Aceh,2011-01-08,19.83
Aceh,2011-01-09,11.42
Aceh,2011-01-10,29.66
Aceh,2011-01-11,0.21
Aceh,2011-01-12,0.02
Aceh,2011-01-13,0.0
Aceh,2011-01-14,0.0
Aceh,2011-01-15,0.0
Aceh,2011-01-16,0.15
Aceh,2011-01-17,0.04
Aceh,2011-01-18,0.0
Aceh,2011-01-19,0.0
Aceh,2011-01-20,11.63
Aceh,2011-01-21,3.61
Aceh,2011-01-22,0.0
Aceh,2011-01-23,27.98
Aceh,2011-01-24,7.74
Aceh,2011-01-25,15.17
Aceh,2011-01-26,7.51
Aceh,2011-01-27,9.37
Aceh,2011-01-28,12.07
Aceh,2011-01-29,2.29
Aceh,2011-01-30,0.05
Aceh,2011-01-31,6.1
Aceh,2011-02-01,2.86
Aceh,2011-02-02,48.24
Aceh,2011-02-03,5.6
Aceh,2011-02-04,0.77
Aceh,2011-02-05,0.06
Aceh,2011-02-06,0.0
Aceh,2011-02-07,6.91
Aceh,2011-02-08,0.93
Aceh,2011-02-09,0.02
Aceh,2011-02-10,0.0
Aceh,2011-02-11,7.92
Aceh,2011-02-12,17.16
Aceh,2011-02-13,6.49
Aceh,2011-02-14,0.25
Aceh,2011-02-15,0.33
Aceh,2011-02-16,0.06
Aceh,2011-02-17,0.0
Aceh,2011-02-18,10.06
Aceh,2011-02-19,0.38
Aceh,2011-02-20,0.0
Aceh,2011-02-21,7.91
Aceh,2011-02-22,0.34
Aceh,2011-02-23,0.01
Aceh,2011-02-24,0.24
Aceh,2011-02-25,2.83
Aceh,2011-02-26,2.02
Aceh,2011-02-27,0.22
Aceh,2011-02-28,0.0
Aceh,2011-03-01,0.0
Aceh,2011-03-02,0.01
Aceh,2011-03-03,0.01
Aceh,2011-03-04,0.0
Aceh,2011-03-05,0.91
Aceh,2011-03-06,0.17
Aceh,2011-03-07,30.93
Aceh,2011-03-08,19.95
Aceh,2011-03-09,60.07
Aceh,2011-03-10,31.09
Aceh,2011-03-11,5.65
Aceh,2011-03-12,0.31
Aceh,2011-03-13,0.04
Aceh,2011-03-14,21.23
Aceh,2011-03-15,1.26
Aceh,2011-03-16,0.06
Aceh,2011-03-17,1.37
Aceh,2011-03-18,0.24
Aceh,2011-03-19,0.07
Aceh,2011-03-20,5.26
Aceh,2011-03-21,2.7
Aceh,2011-03-22,12.29
Aceh,2011-03-23,42.6
Aceh,2011-03-24,23.88
Aceh,2011-03-25,20.29
Aceh,2011-03-26,13.48
Aceh,2011-03-27,32.92
Aceh,2011-03-28,27.92
Aceh,2011-03-29,30.79
Aceh,2011-03-30,17.06
Aceh,2011-03-31,1.01
Aceh,2011-04-01,14.63
Aceh,2011-04-02,2.31
Aceh,2011-04-03,0.67
Aceh,2011-04-04,0.42
Aceh,2011-04-05,0.05
Aceh,2011-04-06,0.0
Aceh,2011-04-07,0.22
Aceh,2011-04-08,0.01
Aceh,2011-04-09,4.93
Aceh,2011-04-10,2.23
Aceh,2011-04-11,7.36
Aceh,2011-04-12,2.7
Aceh,2011-04-13,12.78
Aceh,2011-04-14,3.86
Aceh,2011-04-15,0.11
Aceh,2011-04-16,1.99
Aceh,2011-04-17,37.92
Aceh,2011-04-18,2.07
Aceh,2011-04-19,0.01
Aceh,2011-04-20,0.93
Aceh,2011-04-21,38.83
Aceh,2011-04-22,3.54
Aceh,2011-04-23,0.23
Aceh,2011-04-24,1.92
Aceh,2011-04-25,7.27
Aceh,2011-04-26,24.71
Aceh,2011-04-27,2.09
Aceh,2011-04-28,36.66
Aceh,2011-04-29,20.91
Aceh,2011-04-30,0.71
Aceh,2011-05-01,0.02
Aceh,2011-05-02,0.0
Aceh,2011-05-03,0.05
Aceh,2011-05-04,0.0
Aceh,2011-05-05,0.18
Aceh,2011-05-06,0.3
Aceh,2011-05-07,3.9
Aceh,2011-05-08,3.7
Aceh,2011-05-09,1.54
Aceh,2011-05-10,0.32
Aceh,2011-05-11,0.0
Aceh,2011-05-12,0.15
Aceh,2011-05-13,15.91
Aceh,2011-05-14,7.8
Aceh,2011-05-15,12.53
Aceh,2011-05-16,10.19
Aceh,2011-05-17,4.4
Aceh,2011-05-18,15.97
Aceh,2011-05-19,0.5
Aceh,2011-05-20,2.72
Aceh,2011-05-21,11.21
Aceh,2011-05-22,6.33
Aceh,2011-05-23,0.03
Aceh,2011-05-24,0.1
Aceh,2011-05-25,0.01
Aceh,2011-05-26,0.01
Aceh,2011-05-27,0.02
Aceh,2011-05-28,1.64
Aceh,2011-05-29,17.82
Aceh,2011-05-30,1.5
Aceh,2011-05-31,0.17
Aceh,2011-06-01,0.13
Aceh,2011-06-02,2.67
Aceh,2011-06-03,0.12
Aceh,2011-06-04,0.02
Aceh,2011-06-05,0.36
Aceh,2011-06-06,0.02
Aceh,2011-06-07,0.0
Aceh,2011-06-08,0.0
Aceh,2011-06-09,0.0
Aceh,2011-06-10,0.15
Aceh,2011-06-11,0.01
Aceh,2011-06-12,0.0
Aceh,2011-06-13,0.67
Aceh,2011-06-14,1.01
Aceh,2011-06-15,0.3
Aceh,2011-06-16,0.01
Aceh,2011-06-17,0.0
Aceh,2011-06-18,17.19
Aceh,2011-06-19,0.77
Aceh,2011-06-20,0.0
Aceh,2011-06-21,19.55
Aceh,2011-06-22,7.45
Aceh,2011-06-23,0.89
Aceh,2011-06-24,4.65
Aceh,2011-06-25,24.05
Aceh,2011-06-26,4.41
Aceh,2011-06-27,0.07
Aceh,2011-06-28,13.29
Aceh,2011-06-29,12.6
Aceh,2011-06-30,1.56
Aceh,2011-07-01,0.49
Aceh,2011-07-02,0.18
Aceh,2011-07-03,0.03
Aceh,2011-07-04,0.0
Aceh,2011-07-05,0.05
Aceh,2011-07-06,0.01
Aceh,2011-07-07,0.0
Aceh,2011-07-08,0.0
Aceh,2011-07-09,0.0
Aceh,2011-07-10,0.19
Aceh,2011-07-11,75.6
Aceh,2011-07-12,13.34
Aceh,2011-07-13,5.51
Aceh,2011-07-14,4.54
Aceh,2011-07-15,0.84
Aceh,2011-07-16,0.0
Aceh,2011-07-17,0.0
Aceh,2011-07-18,0.0
Aceh,2011-07-19,0.0
Aceh,2011-07-20,0.0
Aceh,2011-07-21,8.73
Aceh,2011-07-22,0.36
Aceh,2011-07-23,0.02
Aceh,2011-07-24,26.47
Aceh,2011-07-25,15.32
Aceh,2011-07-26,1.06
Aceh,2011-07-27,0.15
Aceh,2011-07-28,1.9
Aceh,2011-07-29,0.06
Aceh,2011-07-30,0.0
Aceh,2011-07-31,0.2
Aceh,2011-08-01,15.58
Aceh,2011-08-02,28.39
Aceh,2011-08-03,2.52
Aceh,2011-08-04,0.01
Aceh,2011-08-05,0.45
Aceh,2011-08-06,1.16
Aceh,2011-08-07,0.03
Aceh,2011-08-08,0.01
Aceh,2011-08-09,22.67
Aceh,2011-08-10,6.71
Aceh,2011-08-11,3.35
Aceh,2011-08-12,4.51
Aceh,2011-08-13,65.37
Aceh,2011-08-14,18.51
Aceh,2011-08-15,102.69
Aceh,2011-08-16,11.54
Aceh,2011-08-17,4.59
Aceh,2011-08-18,22.69
Aceh,2011-08-19,3.68
Aceh,2011-08-20,10.1
Aceh,2011-08-21,10.51
Aceh,2011-08-22,5.01
Aceh,2011-08-23,29.31
Aceh,2011-08-24,6.97
Aceh,2011-08-25,0.12
Aceh,2011-08-26,17.32
Aceh,2011-08-27,7.11
Aceh,2011-08-28,10.19
Aceh,2011-08-29,6.54
Aceh,2011-08-30,0.25
Aceh,2011-08-31,0.03
Aceh,2011-09-01,0.0
Aceh,2011-09-02,0.0
Aceh,2011-09-03,0.0
Aceh,2011-09-04,12.67
Aceh,2011-09-05,0.85
Aceh,2011-09-06,0.07
Aceh,2011-09-07,22.98
Aceh,2011-09-08,1.85
Aceh,2011-09-09,0.15
Aceh,2011-09-10,24.81
Aceh,2011-09-11,16.02
Aceh,2011-09-12,0.69
Aceh,2011-09-13,0.07
Aceh,2011-09-14,0.35
Aceh,2011-09-15,9.15
Aceh,2011-09-16,17.61
Aceh,2011-09-17,3.6
Aceh,2011-09-18,0.96
Aceh,2011-09-19,3.2
Aceh,2011-09-20,0.1
Aceh,2011-09-21,2.01
Aceh,2011-09-22,0.05
Aceh,2011-09-23,0.0
Aceh,2011-09-24,13.41
Aceh,2011-09-25,5.33
Aceh,2011-09-26,0.83
Aceh,2011-09-27,3.56
Aceh,2011-09-28,25.06
Aceh,2011-09-29,6.95
Aceh,2011-09-30,10.51
Aceh,2011-10-01,1.62
Aceh,2011-10-02,1.58
Aceh,2011-10-03,2.06
Aceh,2011-10-04,29.8
Aceh,2011-10-05,7.73
Aceh,2011-10-06,0.0
Aceh,2011-10-07,0.46
Aceh,2011-10-08,1.53
Aceh,2011-10-09,0.25
Aceh,2011-10-10,0.04
Aceh,2011-10-11,23.52
Aceh,2011-10-12,1.47
Aceh,2011-10-13,0.02
Aceh,2011-10-14,0.1
Aceh,2011-10-15,52.92
Aceh,2011-10-16,3.38
Aceh,2011-10-17,6.28
Aceh,2011-10-18,9.3
Aceh,2011-10-19,39.71
Aceh,2011-10-20,7.53
Aceh,2011-10-21,1.63
Aceh,2011-10-22,1.78
Aceh,2011-10-23,92.39
Aceh,2011-10-24,6.89
Aceh,2011-10-25,2.06
Aceh,2011-10-26,3.16
Aceh,2011-10-27,0.29
Aceh,2011-10-28,0.46
Aceh,2011-10-29,0.29
Aceh,2011-10-30,28.85
Aceh,2011-10-31,17.26
Aceh,2011-11-01,8.19
Aceh,2011-11-02,3.11
Aceh,2011-11-03,27.73
Aceh,2011-11-04,15.82
Aceh,2011-11-05,29.63
Aceh,2011-11-06,52.42
Aceh,2011-11-07,3.49
Aceh,2011-11-08,3.48
Aceh,2011-11-09,0.23
Aceh,2011-11-10,0.01
Aceh,2011-11-11,4.52
Aceh,2011-11-12,10.87
Aceh,2011-11-13,6.12
Aceh,2011-11-14,1.27
Aceh,2011-11-15,6.67
Aceh,2011-11-16,1.85
Aceh,2011-11-17,0.35
Aceh,2011-11-18,7.22
Aceh,2011-11-19,1.4
Aceh,2011-11-20,0.24
Aceh,2011-11-21,3.73
Aceh,2011-11-22,6.28
Aceh,2011-11-23,0.91
Aceh,2011-11-24,0.03
Aceh,2011-11-25,10.82
Aceh,2011-11-26,5.83
Aceh,2011-11-27,16.35
Aceh,2011-11-28,3.29
Aceh,2011-11-29,8.74
Aceh,2011-11-30,48.69
Aceh,2011-12-01,28.85
Aceh,2011-12-02,0.08
Aceh,2011-12-03,0.08
Aceh,2011-12-04,0.39
Aceh,2011-12-05,0.09
Aceh,2011-12-06,0.0
Aceh,2011-12-07,0.32
Aceh,2011-12-08,9.62
Aceh,2011-12-09,2.08
Aceh,2011-12-10,13.22
Aceh,2011-12-11,9.15
Aceh,2011-12-12,9.15
Aceh,2011-12-13,9.43
Aceh,2011-12-14,11.57
Aceh,2011-12-15,29.49
Aceh,2011-12-16,9.74
Aceh,2011-12-17,15.73
Aceh,2011-12-18,26.68
Aceh,2011-12-19,5.0
Aceh,2011-12-20,1.37
Aceh,2011-12-21,0.04
Aceh,2011-12-22,4.86
Aceh,2011-12-23,96.75
Aceh,2011-12-24,2.72
Aceh,2011-12-25,2.25
Aceh,2011-12-26,11.36
Aceh,2011-12-27,9.52
Aceh,2011-12-28,0.25
Aceh,2011-12-29,0.07
Aceh,2011-12-30,8.58
Aceh,2011-12-31,4.0
Aceh,2012-01-01,1.54
Aceh,2012-01-02,0.14
Aceh,2012-01-03,0.16
Aceh,2012-01-04,5.84
Aceh,2012-01-05,23.52
Aceh,2012-01-06,2.27
Aceh,2012-01-07,4.66
Aceh,2012-01-08,0.46
Aceh,2012-01-09,13.39
Aceh,2012-01-10,1.99
Aceh,2012-01-11,5.56
Aceh,2012-01-12,41.09
Aceh,2012-01-13,2.42
Aceh,2012-01-14,19.77
Aceh,2012-01-15,16.25
Aceh,2012-01-16,1.13
Aceh,2012-01-17,3.09
Aceh,2012-01-18,26.4
Aceh,2012-01-19,10.81
Aceh,2012-01-20,0.61
Aceh,2012-01-21,0.47
Aceh,2012-01-22,0.4
Aceh,2012-01-23,0.04
Aceh,2012-01-24,0.0
Aceh,2012-01-25,0.11
Aceh,2012-01-26,0.01
Aceh,2012-01-27,0.0
Aceh,2012-01-28,4.17
Aceh,2012-01-29,0.19
Aceh,2012-01-30,1.38
Aceh,2012-01-31,0.05
Aceh,2012-02-01,0.69
Aceh,2012-02-02,0.49
Aceh,2012-02-03,0.02
Aceh,2012-02-04,3.48
Aceh,2012-02-05,1.75
Aceh,2012-02-06,0.08
Aceh,2012-02-07,32.12
Aceh,2012-02-08,2.31
Aceh,2012-02-09,0.0
Aceh,2012-02-10,0.1
Aceh,2012-02-11,0.16
Aceh,2012-02-12,0.13
Aceh,2012-02-13,6.39
Aceh,2012-02-14,32.52
Aceh,2012-02-15,31.32
Aceh,2012-02-16,6.91
Aceh,2012-02-17,2.36
Aceh,2012-02-18,15.04
Aceh,2012-02-19,0.44
Aceh,2012-02-20,0.01
Aceh,2012-02-21,0.22
Aceh,2012-02-22,0.01
Aceh,2012-02-23,15.03
Aceh,2012-02-24,3.89
Aceh,2012-02-25,3.52
Aceh,2012-02-26,0.25
Aceh,2012-02-27,14.45
Aceh,2012-02-28,21.43
Aceh,2012-02-29,35.02
Aceh,2012-03-01,0.2
Aceh,2012-03-02,3.23
Aceh,2012-03-03,3.55
Aceh,2012-03-04,12.99
Aceh,2012-03-05,4.19
Aceh,2012-03-06,13.78
Aceh,2012-03-07,2.32
Aceh,2012-03-08,6.09
Aceh,2012-03-09,0.81
Aceh,2012-03-10,0.23
Aceh,2012-03-11,0.4
Aceh,2012-03-12,0.89
Aceh,2012-03-13,0.11
Aceh,2012-03-14,2.03
Aceh,2012-03-15,1.64
Aceh,2012-03-16,0.01
Aceh,2012-03-17,0.0
Aceh,2012-03-18,0.0
Aceh,2012-03-19,0.63
Aceh,2012-03-20,4.35
Aceh,2012-03-21,0.41
Aceh,2012-03-22,0.0
Aceh,2012-03-23,0.0
Aceh,2012-03-24,12.94
Aceh,2012-03-25,1.44
Aceh,2012-03-26,0.13
Aceh,2012-03-27,3.37
Aceh,2012-03-28,15.43
Aceh,2012-03-29,13.58
Aceh,2012-03-30,2.4
Aceh,2012-03-31,8.93
Aceh,2012-04-01,0.72
Aceh,2012-04-02,9.46
Aceh,2012-04-03,9.29
Aceh,2012-04-04,28.42
Aceh,2012-04-05,1.3
Aceh,2012-04-06,0.37
Aceh,2012-04-07,0.43
Aceh,2012-04-08,4.87
Aceh,2012-04-09,0.86
Aceh,2012-04-10,7.66
Aceh,2012-04-11,1.4
Aceh,2012-04-12,0.0
Aceh,2012-04-13,0.04
Aceh,2012-04-14,5.44
Aceh,2012-04-15,0.75
Aceh,2012-04-16,1.44
Aceh,2012-04-17,0.25
Aceh,2012-04-18,31.42
Aceh,2012-04-19,9.34
Aceh,2012-04-20,12.24
Aceh,2012-04-21,0.37
Aceh,2012-04-22,0.0
Aceh,2012-04-23,0.04
Aceh,2012-04-24,0.15
Aceh,2012-04-25,0.04
Aceh,2012-04-26,0.45
Aceh,2012-04-27,0.84
Aceh,2012-04-28,10.26
Aceh,2012-04-29,32.73
Aceh,2012-04-30,0.84
Aceh,2012-05-01,8.01
Aceh,2012-05-02,0.9
Aceh,2012-05-03,0.5
Aceh,2012-05-04,0.4
Aceh,2012-05-05,0.19
Aceh,2012-05-06,0.86
Aceh,2012-05-07,0.11
Aceh,2012-05-08,1.69
Aceh,2012-05-09,1.31
Aceh,2012-05-10,0.33
Aceh,2012-05-11,0.33
Aceh,2012-05-12,0.08
Aceh,2012-05-13,0.0
Aceh,2012-05-14,0.0
Aceh,2012-05-15,0.48
Aceh,2012-05-16,0.49
Aceh,2012-05-17,0.18
Aceh,2012-05-18,0.22
Aceh,2012-05-19,0.05
Aceh,2012-05-20,0.08
Aceh,2012-05-21,15.34
Aceh,2012-05-22,38.67
